epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0632,2.28153,4.75186,2.92877,0.11545,0.70975,0.3816,0.48943,0.29582,1.364,2.50588,2.32209,0.02855,0.000170838,0.000170838,0.000170838
2,168.318,1.26985,1.76636,1.89442,0.02936,0.70094,0.73582,0.76023,0.53653,0.94014,1.15579,1.66886,0.02083,0.000342744,0.000342744,0.000342744
3,249.218,1.01388,1.20618,1.53805,0.0271,0.70841,0.87199,0.81318,0.57312,0.83608,0.91111,1.50241,0.02372,0.000511178,0.000511178,0.000511178
4,329.903,0.91454,1.01934,1.3836,0.02601,0.72223,0.92459,0.83596,0.60602,0.74325,0.76816,1.40548,0.01971,0.000510378,0.000510378,0.000510378
5,410.738,0.83554,0.92008,1.30526,0.02101,0.72458,0.92272,0.8512,0.62365,0.714,0.73139,1.33076,0.02326,0.00050517,0.00050517,0.00050517
6,491.628,0.80435,0.84968,1.23966,0.01927,0.78924,0.91443,0.88006,0.65546,0.69564,0.70285,1.29157,0.02009,0.000499963,0.000499963,0.000499963
7,572.563,0.79091,0.80385,1.23114,0.01853,0.83785,0.91247,0.89759,0.66711,0.6836,0.66343,1.28387,0.01995,0.000494756,0.000494756,0.000494756
8,653.185,0.77029,0.75869,1.22152,0.01722,0.90858,0.92976,0.92731,0.68891,0.66287,0.60878,1.26413,0.01854,0.000489548,0.000489548,0.000489548
9,734.348,0.73748,0.71686,1.2098,0.01667,0.89169,0.90866,0.9136,0.68009,0.63415,0.59414,1.24693,0.01838,0.000484341,0.000484341,0.000484341
10,815.678,0.72726,0.67706,1.1756,0.01683,0.92973,0.90911,0.93704,0.69329,0.62801,0.55106,1.21596,0.01921,0.000479133,0.000479133,0.000479133
11,896.475,0.71371,0.66788,1.17213,0.01435,0.92887,0.9287,0.93949,0.69566,0.64553,0.55453,1.22492,0.01751,0.000473926,0.000473926,0.000473926
12,976.944,0.72521,0.65162,1.1614,0.01721,0.93127,0.93866,0.94872,0.71019,0.61832,0.52307,1.21216,0.0164,0.000468719,0.000468719,0.000468719
13,1057.11,0.68805,0.6146,1.14958,0.0148,0.92937,0.93059,0.93301,0.70096,0.61219,0.50978,1.2092,0.0166,0.000463511,0.000463511,0.000463511
14,1138.03,0.70068,0.62484,1.16337,0.01468,0.93502,0.93511,0.93826,0.70696,0.64472,0.49885,1.21646,0.01791,0.000458304,0.000458304,0.000458304
15,1218.87,0.6734,0.58949,1.12611,0.01482,0.91823,0.94034,0.9418,0.70596,0.62485,0.51545,1.20782,0.01725,0.000453096,0.000453096,0.000453096
16,1299.74,0.68331,0.58275,1.14357,0.01322,0.89567,0.93856,0.9413,0.71787,0.61179,0.52055,1.19183,0.01603,0.000447889,0.000447889,0.000447889
17,1380.55,0.66298,0.57332,1.12647,0.01462,0.92154,0.93869,0.93958,0.71584,0.59861,0.4935,1.17255,0.01655,0.000442682,0.000442682,0.000442682
18,1461.7,0.66089,0.55795,1.11998,0.01201,0.91835,0.94798,0.93906,0.72493,0.5818,0.46687,1.18326,0.01574,0.000437474,0.000437474,0.000437474
19,1542.54,0.66558,0.5495,1.11888,0.01348,0.93765,0.95156,0.94615,0.71863,0.59393,0.46773,1.18644,0.0163,0.000432267,0.000432267,0.000432267
20,1623.03,0.65372,0.5267,1.10887,0.01407,0.95234,0.9447,0.95029,0.72733,0.57969,0.44682,1.16878,0.01592,0.000427059,0.000427059,0.000427059
21,1703.7,0.65051,0.52731,1.11378,0.01381,0.95626,0.95506,0.95483,0.73458,0.58523,0.43806,1.16865,0.0154,0.000421852,0.000421852,0.000421852
22,1784.73,0.65256,0.52129,1.1029,0.0139,0.94747,0.96345,0.95557,0.73763,0.5821,0.43677,1.16646,0.01509,0.000416645,0.000416645,0.000416645
23,1879.98,0.61229,0.49831,1.08661,0.01261,0.95149,0.95331,0.95495,0.73944,0.56954,0.4341,1.16164,0.01461,0.000411437,0.000411437,0.000411437
24,1974.83,0.63224,0.51732,1.09026,0.01144,0.92907,0.95753,0.94463,0.73826,0.57197,0.44582,1.1595,0.01374,0.00040623,0.00040623,0.00040623
25,2070.08,0.63182,0.49993,1.10274,0.01226,0.93806,0.96639,0.95076,0.73702,0.57316,0.43915,1.15642,0.01294,0.000401022,0.000401022,0.000401022
26,2165.92,0.63662,0.50775,1.09567,0.013,0.93529,0.95671,0.94986,0.74103,0.56144,0.43425,1.151,0.01306,0.000395815,0.000395815,0.000395815
27,2261.56,0.62203,0.48873,1.09197,0.01294,0.95281,0.95213,0.95415,0.73838,0.56136,0.42328,1.14435,0.0126,0.000390608,0.000390608,0.000390608
28,2357.17,0.61486,0.49169,1.0928,0.01173,0.93541,0.94794,0.94799,0.74364,0.55707,0.43617,1.14832,0.01367,0.0003854,0.0003854,0.0003854
29,2452.49,0.63689,0.48832,1.10073,0.01174,0.95858,0.96364,0.95642,0.7403,0.55947,0.42719,1.13199,0.01451,0.000380193,0.000380193,0.000380193
30,2547.65,0.61497,0.49005,1.08391,0.01183,0.94399,0.94948,0.94783,0.74002,0.55662,0.42655,1.1308,0.01574,0.000374985,0.000374985,0.000374985
31,2642.69,0.6231,0.48057,1.07589,0.01243,0.94473,0.951,0.95063,0.72857,0.56119,0.4254,1.14271,0.01278,0.000369778,0.000369778,0.000369778
32,2737.63,0.60872,0.47216,1.06459,0.01046,0.9466,0.95514,0.94777,0.73629,0.55692,0.42011,1.13569,0.0131,0.000364571,0.000364571,0.000364571
33,2833.08,0.61185,0.47204,1.06904,0.01111,0.94395,0.96565,0.95341,0.74181,0.55693,0.40581,1.12738,0.01223,0.000359363,0.000359363,0.000359363
34,2928.87,0.58815,0.46119,1.06238,0.01138,0.94872,0.96404,0.95816,0.74112,0.53829,0.39513,1.12523,0.01213,0.000354156,0.000354156,0.000354156
35,3024.67,0.59434,0.47603,1.06354,0.01056,0.94848,0.95543,0.94896,0.74527,0.53561,0.40243,1.11712,0.01194,0.000348948,0.000348948,0.000348948
36,3122.16,0.59347,0.4518,1.04794,0.00985,0.9411,0.95704,0.95029,0.7317,0.56972,0.40865,1.11276,0.01337,0.000343741,0.000343741,0.000343741
37,3220.01,0.60025,0.45818,1.06411,0.01149,0.95501,0.96044,0.95654,0.74879,0.54276,0.40249,1.12193,0.01067,0.000338534,0.000338534,0.000338534
38,3316.84,0.59324,0.46015,1.04691,0.01185,0.94724,0.95579,0.95288,0.74698,0.53675,0.40819,1.1186,0.01134,0.000333326,0.000333326,0.000333326
39,3412.63,0.59881,0.46231,1.06497,0.01142,0.95924,0.96915,0.95816,0.73786,0.55374,0.40582,1.10013,0.01091,0.000328119,0.000328119,0.000328119
40,3509.63,0.58502,0.4477,1.04917,0.01175,0.95267,0.94307,0.95004,0.74911,0.54407,0.39725,1.12176,0.0113,0.000322911,0.000322911,0.000322911
41,3606.42,0.59246,0.44631,1.05846,0.01111,0.94046,0.968,0.95474,0.74909,0.53697,0.39349,1.11023,0.01266,0.000317704,0.000317704,0.000317704
42,3703.38,0.59137,0.44501,1.06325,0.01219,0.95476,0.95828,0.95309,0.74437,0.54061,0.39728,1.10786,0.01055,0.000312497,0.000312497,0.000312497
43,3799.22,0.56513,0.42996,1.04735,0.00964,0.95898,0.96636,0.96322,0.75283,0.53788,0.39148,1.0975,0.0107,0.000307289,0.000307289,0.000307289
44,3895.69,0.58446,0.43493,1.03333,0.00915,0.95923,0.95524,0.95449,0.74711,0.54396,0.38795,1.09274,0.01066,0.000302082,0.000302082,0.000302082
45,3990.92,0.56419,0.42027,1.03907,0.01067,0.95572,0.96297,0.95401,0.74474,0.53247,0.37564,1.11459,0.01278,0.000296874,0.000296874,0.000296874
46,4089.07,0.56503,0.43088,1.04394,0.01037,0.96053,0.96667,0.95677,0.75507,0.52785,0.38304,1.09797,0.01108,0.000291667,0.000291667,0.000291667
47,4320.61,0.56146,0.41155,1.03724,0.00934,0.94938,0.96777,0.95769,0.76186,0.5308,0.3857,1.09446,0.01106,0.00028646,0.00028646,0.00028646
48,4545.69,0.56544,0.41789,1.03628,0.0097,0.96061,0.94583,0.95717,0.7619,0.53415,0.38657,1.11217,0.01156,0.000281252,0.000281252,0.000281252
49,4782.67,0.58303,0.4284,1.04939,0.01025,0.95063,0.96687,0.95946,0.75593,0.54506,0.38724,1.1303,0.01134,0.000276045,0.000276045,0.000276045
50,4933.04,0.56774,0.41743,1.04351,0.01001,0.95173,0.96828,0.96028,0.76384,0.52383,0.38031,1.09325,0.01101,0.000270837,0.000270837,0.000270837
51,5044.63,0.57105,0.42471,1.03797,0.01228,0.96072,0.95573,0.95159,0.74611,0.53163,0.37744,1.0998,0.01516,0.00026563,0.00026563,0.00026563
52,5157.76,0.5704,0.41956,1.04223,0.01059,0.96106,0.96574,0.95905,0.75788,0.53438,0.38691,1.10499,0.01067,0.000260423,0.000260423,0.000260423
53,5267.84,0.55816,0.42581,1.03755,0.01094,0.94291,0.95781,0.95106,0.74818,0.53044,0.39416,1.09091,0.0098,0.000255215,0.000255215,0.000255215
54,5377.1,0.56137,0.41161,1.03223,0.0113,0.95936,0.95924,0.95905,0.76344,0.53192,0.37605,1.09823,0.01049,0.000250008,0.000250008,0.000250008
55,5485.34,0.56205,0.41271,1.03626,0.00982,0.96433,0.96016,0.95741,0.75652,0.51822,0.36688,1.0908,0.00961,0.0002448,0.0002448,0.0002448
56,5593.86,0.55988,0.42048,1.02589,0.00994,0.95016,0.96511,0.95666,0.76367,0.51409,0.3657,1.09548,0.01132,0.000239593,0.000239593,0.000239593
57,5703.07,0.56251,0.41526,1.04484,0.00976,0.96364,0.95774,0.95951,0.76048,0.52701,0.37057,1.11781,0.01045,0.000234386,0.000234386,0.000234386
58,5811.48,0.54977,0.40247,1.03596,0.00954,0.95897,0.96077,0.95803,0.76395,0.5184,0.36796,1.08649,0.01021,0.000229178,0.000229178,0.000229178
59,5923.54,0.5384,0.39966,1.01402,0.00852,0.96399,0.96632,0.96095,0.76569,0.51818,0.36544,1.10337,0.01019,0.000223971,0.000223971,0.000223971
60,6032.87,0.53954,0.40238,1.02558,0.00937,0.964,0.9592,0.95901,0.7646,0.5089,0.3566,1.09493,0.01032,0.000218763,0.000218763,0.000218763
61,6139.17,0.54427,0.39553,1.03599,0.01059,0.95748,0.96348,0.95874,0.75949,0.52296,0.35692,1.0896,0.01016,0.000213556,0.000213556,0.000213556
62,6248.29,0.54895,0.39531,1.04115,0.01032,0.96533,0.96562,0.9601,0.7699,0.50853,0.34387,1.08743,0.01025,0.000208349,0.000208349,0.000208349
63,6357.22,0.53171,0.39308,1.01773,0.0094,0.95248,0.96332,0.95404,0.75903,0.51069,0.35435,1.0879,0.01005,0.000203141,0.000203141,0.000203141
64,6467.33,0.53366,0.38485,1.02777,0.01062,0.96382,0.95566,0.95957,0.76927,0.51247,0.35759,1.09486,0.00999,0.000197934,0.000197934,0.000197934
