epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,175.577,1.76309,2.93517,2.31708,0.06345,0.75911,0.54561,0.55287,0.40253,1.23354,1.79812,1.72625,0.00571,0.000328767,0.000328767,0.000328767
2,347.894,1.01136,1.17216,1.56387,0.00961,0.7533,0.71613,0.69683,0.48263,0.997,1.01991,1.46296,0.00492,0.000655546,0.000655546,0.000655546
3,516.336,0.89902,0.90471,1.37807,0.00752,0.71961,0.77032,0.72958,0.50806,0.90679,0.82492,1.36361,0.00414,0.000975724,0.000975724,0.000975724
4,682.749,0.81301,0.78283,1.30653,0.00641,0.75852,0.75994,0.73646,0.52313,0.83672,0.71329,1.30606,0.00287,0.0009703,0.0009703,0.0009703
5,850.844,0.79029,0.722,1.29927,0.00577,0.8117,0.79629,0.76724,0.53867,0.81772,0.6425,1.25728,0.00291,0.0009604,0.0009604,0.0009604
6,1019.57,0.76507,0.6857,1.2604,0.00612,0.73171,0.77765,0.72403,0.52779,0.82549,0.65998,1.26462,0.00316,0.0009505,0.0009505,0.0009505
7,1188.99,0.76143,0.65312,1.24811,0.00531,0.78958,0.78059,0.748,0.5375,0.80026,0.61415,1.24785,0.00268,0.0009406,0.0009406,0.0009406
8,1359.51,0.72414,0.60774,1.23797,0.00556,0.78471,0.81292,0.7518,0.54582,0.7796,0.54376,1.22408,0.00246,0.0009307,0.0009307,0.0009307
9,1528.81,0.71728,0.59248,1.20689,0.00503,0.80675,0.82734,0.77061,0.55422,0.76933,0.56449,1.19663,0.00279,0.0009208,0.0009208,0.0009208
10,1700.16,0.70056,0.58261,1.19313,0.0049,0.79763,0.81567,0.76851,0.55428,0.77966,0.53744,1.17972,0.00281,0.0009109,0.0009109,0.0009109
11,1870.09,0.70828,0.57875,1.18054,0.00502,0.79356,0.82741,0.76883,0.55944,0.76457,0.53988,1.18599,0.00253,0.000901,0.000901,0.000901
12,2040.04,0.67312,0.55008,1.16493,0.00475,0.81112,0.81638,0.7643,0.56374,0.73202,0.51018,1.15456,0.00232,0.0008911,0.0008911,0.0008911
13,2210.27,0.66772,0.54422,1.1779,0.00473,0.80607,0.8208,0.76037,0.55669,0.76626,0.50216,1.17326,0.00268,0.0008812,0.0008812,0.0008812
14,2382.33,0.66904,0.54128,1.17202,0.00402,0.78884,0.82269,0.76031,0.552,0.74929,0.50344,1.18467,0.00228,0.0008713,0.0008713,0.0008713
15,2551.91,0.67051,0.54798,1.16742,0.00448,0.8172,0.82685,0.78161,0.57097,0.72059,0.49498,1.144,0.00244,0.0008614,0.0008614,0.0008614
16,2721.36,0.65487,0.52932,1.14865,0.00447,0.81628,0.82976,0.76989,0.57381,0.71767,0.46626,1.14189,0.00224,0.0008515,0.0008515,0.0008515
17,2889.77,0.64395,0.51448,1.14359,0.00394,0.81247,0.82029,0.76961,0.57446,0.72507,0.46974,1.14889,0.0022,0.0008416,0.0008416,0.0008416
18,3059,0.66181,0.52709,1.14423,0.00399,0.82371,0.83366,0.78446,0.58045,0.70596,0.46598,1.11312,0.00222,0.0008317,0.0008317,0.0008317
19,3228.22,0.64874,0.51526,1.14585,0.00416,0.83336,0.83661,0.77668,0.57405,0.72442,0.47492,1.17275,0.00216,0.0008218,0.0008218,0.0008218
20,3398.93,0.63167,0.51502,1.12204,0.00434,0.8202,0.81678,0.76686,0.57396,0.70561,0.44283,1.11633,0.0021,0.0008119,0.0008119,0.0008119
21,3569.12,0.62886,0.49971,1.12282,0.00375,0.82474,0.83792,0.78291,0.57107,0.72226,0.45695,1.15404,0.00223,0.000802,0.000802,0.000802
22,3738.77,0.62496,0.49171,1.12602,0.00385,0.82353,0.82671,0.76947,0.57608,0.69694,0.44224,1.12172,0.00203,0.0007921,0.0007921,0.0007921
23,3909.62,0.60503,0.4834,1.10696,0.00384,0.82498,0.83535,0.77637,0.57774,0.68157,0.43506,1.09369,0.00217,0.0007822,0.0007822,0.0007822
