epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.635,1.37126,5.11784,1.3171,0.01053,0.91862,0.33399,0.23401,0.93498,4.77047,1.06636,0.00011662,0.00011662,0.00011662
2,610.794,1.0998,4.18985,1.11422,0.00907,0.94244,0.5499,0.39107,0.91418,4.48736,1.04273,0.000239178,0.000239178,0.000239178
3,906.325,1.061,3.15357,1.06792,0.01079,0.97393,0.80431,0.59565,0.90389,4.22494,1.03181,0.000359263,0.000359263,0.000359263
4,1033.21,1.00543,2.77071,1.02409,0.9373,0.67234,0.8477,0.64015,0.95718,4.26623,1.0641,0.000476873,0.000476873,0.000476873
5,1158.68,0.96435,2.49382,1.00869,0.96282,0.60507,0.92643,0.70497,0.90371,3.63075,1.01937,0.00059201,0.00059201,0.00059201
6,1284.97,0.94925,2.21297,0.98171,0.94165,0.64357,0.82183,0.56102,1.03676,3.64731,1.10591,0.000704672,0.000704672,0.000704672
7,1487.13,0.96047,2.14595,1.00525,0.89064,0.8194,0.92282,0.69073,0.92345,2.8127,1.03709,0.00078352,0.00078352,0.00078352
8,1779.08,0.89648,2.11156,0.97723,0.78752,0.75272,0.87877,0.65924,0.96596,2.77741,1.04376,0.000775273,0.000775273,0.000775273
9,2062.99,0.903,1.93072,0.96486,0.89717,0.85452,0.93428,0.73239,0.84348,2.30572,0.99727,0.000767026,0.000767026,0.000767026
10,2345.84,0.88634,1.88701,0.96458,0.8661,0.91124,0.95711,0.75963,0.86414,2.29185,1.01352,0.00075878,0.00075878,0.00075878
11,2626.78,0.89034,1.70168,0.95952,0.95527,0.91221,0.95389,0.72882,0.90663,1.96835,1.04793,0.000750533,0.000750533,0.000750533
12,2914.67,0.86448,1.74993,0.96706,0.96553,0.92624,0.96923,0.72069,0.88513,1.75387,1.03439,0.000742286,0.000742286,0.000742286
13,3204.84,0.84654,1.67866,0.95031,0.93456,0.97751,0.97577,0.75341,0.86508,1.74118,0.99906,0.00073404,0.00073404,0.00073404
14,3485.74,0.8306,1.54432,0.94588,0.94309,0.95272,0.9738,0.73805,0.85387,1.73722,0.97513,0.000725793,0.000725793,0.000725793
15,3754.13,0.83011,1.48256,0.94706,0.93144,0.97001,0.97249,0.7363,0.86308,1.61688,0.97854,0.000717546,0.000717546,0.000717546
16,3882.27,0.80395,1.41722,0.92216,0.97076,0.95555,0.98434,0.76497,0.83745,1.61219,0.98311,0.000709299,0.000709299,0.000709299
17,4008.76,0.81129,1.37854,0.92098,0.92732,0.96277,0.97703,0.7597,0.81313,1.42112,0.97176,0.000701053,0.000701053,0.000701053
18,4134.43,0.79348,1.28221,0.93044,0.96366,0.96865,0.97659,0.77344,0.82679,1.36317,0.96848,0.000692806,0.000692806,0.000692806
19,4260.89,0.76936,1.21301,0.91933,0.95458,0.92588,0.96273,0.73017,0.85288,1.3901,0.99986,0.000684559,0.000684559,0.000684559
20,4388.38,0.77215,1.22067,0.91081,0.97125,0.95236,0.96947,0.76628,0.81387,1.35831,0.97525,0.000676313,0.000676313,0.000676313
21,4513.89,0.78019,1.19695,0.92061,0.97314,0.97043,0.97368,0.7622,0.84042,1.29077,0.96757,0.000668066,0.000668066,0.000668066
22,4620.1,0.78066,1.16549,0.92786,0.92164,0.95725,0.97489,0.74774,0.8316,1.26322,0.98209,0.000659819,0.000659819,0.000659819
23,4724.98,0.7423,1.10515,0.91832,0.94191,0.95559,0.96404,0.7615,0.77922,1.18342,0.95102,0.000651573,0.000651573,0.000651573
24,4827.91,0.78982,1.17312,0.92031,0.92577,0.9412,0.96411,0.75465,0.80216,1.21585,0.96382,0.000643326,0.000643326,0.000643326
25,4929.91,0.751,1.03611,0.91602,0.93371,0.95343,0.96694,0.7598,0.78716,1.19229,0.98713,0.000635079,0.000635079,0.000635079
26,5033.38,0.75868,1.01394,0.90538,0.95715,0.94701,0.96768,0.77195,0.78086,1.18085,0.96565,0.000626832,0.000626832,0.000626832
27,5135.76,0.74198,1.00474,0.90979,0.97476,0.95662,0.97176,0.7566,0.80303,1.14126,0.97684,0.000618586,0.000618586,0.000618586
28,5238.04,0.72825,0.99253,0.90695,0.96063,0.94549,0.96752,0.75957,0.82089,1.08748,0.97923,0.000610339,0.000610339,0.000610339
29,5350.61,0.72817,0.94662,0.8972,0.95723,0.96094,0.96672,0.75922,0.80284,1.02986,0.97438,0.000602092,0.000602092,0.000602092
30,5475.16,0.7352,0.93723,0.90778,0.9569,0.95585,0.96724,0.76879,0.79702,1.04504,0.96184,0.000593846,0.000593846,0.000593846
31,5600.31,0.75958,0.95153,0.92747,0.98397,0.94996,0.97062,0.75171,0.83094,1.00508,0.97677,0.000585599,0.000585599,0.000585599
32,5725.28,0.71197,0.88071,0.90527,0.95805,0.97393,0.97334,0.77749,0.77319,0.97374,0.97356,0.000577352,0.000577352,0.000577352
33,5856.13,0.70449,0.85836,0.90572,0.98334,0.96101,0.98181,0.78418,0.75709,0.94251,0.94224,0.000569106,0.000569106,0.000569106
34,5982.93,0.70562,0.85621,0.89827,0.97276,0.97056,0.98161,0.78577,0.72784,0.88913,0.93693,0.000560859,0.000560859,0.000560859
35,6291.7,0.67167,0.80925,0.88889,0.9565,0.96388,0.97644,0.79549,0.74982,0.89599,0.92643,0.000552612,0.000552612,0.000552612
36,6581.95,0.67324,0.85366,0.88746,0.96536,0.95379,0.97553,0.78985,0.77296,0.92783,0.94615,0.000544365,0.000544365,0.000544365
37,6879.03,0.69095,0.80462,0.88711,0.94538,0.96992,0.9745,0.78273,0.76073,0.91249,0.95487,0.000536119,0.000536119,0.000536119
38,7180.57,0.68409,0.7633,0.89412,0.97494,0.96732,0.97976,0.78895,0.78019,0.89436,0.94544,0.000527872,0.000527872,0.000527872
39,7481.62,0.66715,0.76165,0.89406,0.97413,0.96447,0.97632,0.78982,0.78819,0.87162,0.955,0.000519625,0.000519625,0.000519625
40,7770.52,0.65722,0.74785,0.88054,0.95474,0.94174,0.96325,0.7483,0.82438,0.88376,0.96238,0.000511379,0.000511379,0.000511379
41,8052.96,0.67083,0.75029,0.88846,0.95215,0.97357,0.96991,0.78768,0.74511,0.8123,0.95264,0.000503132,0.000503132,0.000503132
42,8344.49,0.67308,0.74453,0.8953,0.95632,0.95905,0.96986,0.75843,0.80773,0.80757,0.95854,0.000494885,0.000494885,0.000494885
43,8641.93,0.65529,0.73661,0.89479,0.97189,0.966,0.96783,0.79725,0.73933,0.79987,0.96828,0.000486639,0.000486639,0.000486639
44,8929.73,0.64212,0.71798,0.88591,0.95933,0.96248,0.97347,0.80177,0.71726,0.79122,0.94854,0.000478392,0.000478392,0.000478392
45,9192.54,0.64186,0.71419,0.88431,0.95968,0.97393,0.97094,0.78962,0.74052,0.77569,0.95952,0.000470145,0.000470145,0.000470145
46,9489.47,0.65534,0.68882,0.87737,0.9532,0.97205,0.97016,0.80395,0.70724,0.75961,0.94204,0.000461898,0.000461898,0.000461898
47,9784.19,0.65214,0.67156,0.88347,0.97132,0.94391,0.9753,0.80395,0.71141,0.75851,0.93612,0.000453652,0.000453652,0.000453652
48,10084,0.65931,0.65819,0.88289,0.97584,0.94988,0.97533,0.80161,0.71781,0.74718,0.93021,0.000445405,0.000445405,0.000445405
