epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.309,2.13417,4.3786,1.14391,0.00555,0.29339,0.03729,0.01092,1.98175,4.46946,0.97878,0.00010829,0.00010829,0.00010829
2,63.6759,2.04041,3.13828,1.00461,0.00577,0.36292,0.021,0.00678,1.94123,4.23652,1.0105,0.000222683,0.000222683,0.000222683
3,90.3509,1.92055,2.37358,0.96893,0.01652,0.74468,0.26166,0.14038,1.73201,3.77535,0.94129,0.000334768,0.000334768,0.000334768
4,116.706,1.85405,2.01509,0.93122,0.02159,0.8574,0.34606,0.19064,1.7166,3.31399,0.94752,0.000444543,0.000444543,0.000444543
5,147.109,1.76325,1.78489,0.92502,0.45888,0.60923,0.47547,0.27065,1.64054,2.94746,0.93396,0.000552009,0.000552009,0.000552009
6,176.255,1.6757,1.71316,0.92131,0.68639,0.27125,0.55625,0.32099,1.58799,2.568,0.93082,0.000657166,0.000657166,0.000657166
7,205.64,1.63187,1.55595,0.90679,0.57893,0.62262,0.71377,0.34775,1.6374,2.16847,0.9352,0.000760014,0.000760014,0.000760014
8,235.512,1.62124,1.46408,0.90791,0.67346,0.60138,0.66391,0.39917,1.57179,2.13514,0.91703,0.000775273,0.000775273,0.000775273
9,265.171,1.58447,1.40626,0.90189,0.63001,0.78004,0.6946,0.41068,1.58857,1.92209,0.91141,0.000767026,0.000767026,0.000767026
10,294.739,1.61478,1.37981,0.89655,0.69982,0.65441,0.70297,0.43177,1.56962,1.74323,0.90925,0.00075878,0.00075878,0.00075878
11,324.295,1.61483,1.30718,0.91189,0.73496,0.78363,0.7558,0.45711,1.59672,1.47308,0.91141,0.000750533,0.000750533,0.000750533
12,353.811,1.55117,1.23643,0.89007,0.74711,0.79917,0.78334,0.50862,1.52839,1.528,0.90889,0.000742286,0.000742286,0.000742286
13,383.385,1.56757,1.24014,0.88554,0.76316,0.83159,0.80425,0.47873,1.58663,1.27837,0.90609,0.00073404,0.00073404,0.00073404
14,413.492,1.52229,1.21017,0.90678,0.75229,0.88002,0.77092,0.47873,1.50819,1.22519,0.88389,0.000725793,0.000725793,0.000725793
15,443.334,1.49266,1.18921,0.88848,0.725,0.75527,0.76034,0.46903,1.52504,1.17051,0.88066,0.000717546,0.000717546,0.000717546
16,472.611,1.59558,1.19815,0.88143,0.80506,0.86686,0.8473,0.49367,1.59111,1.17051,0.90625,0.000709299,0.000709299,0.000709299
17,501.941,1.55543,1.17293,0.86926,0.74807,0.88269,0.79496,0.50331,1.49072,1.14638,0.88193,0.000701053,0.000701053,0.000701053
18,531.143,1.558,1.18746,0.91556,0.83752,0.76344,0.80647,0.48967,1.53023,1.14869,0.88832,0.000692806,0.000692806,0.000692806
19,559.29,1.54258,1.10941,0.86836,0.75575,0.81349,0.78354,0.487,1.47783,1.0654,0.88196,0.000684559,0.000684559,0.000684559
20,587.671,1.53054,1.10759,0.86425,0.78464,0.90023,0.79117,0.51085,1.43616,1.06164,0.86428,0.000676313,0.000676313,0.000676313
21,616.392,1.45197,1.07377,0.86515,0.77961,0.89979,0.79803,0.52205,1.47348,1.0456,0.86383,0.000668066,0.000668066,0.000668066
22,644.529,1.49021,1.07266,0.86696,0.88194,0.74691,0.82022,0.51885,1.52198,1.05856,0.88176,0.000659819,0.000659819,0.000659819
23,672.624,1.49229,1.07397,0.87726,0.7616,0.77351,0.79909,0.51973,1.45016,1.03537,0.86653,0.000651573,0.000651573,0.000651573
24,701.338,1.40671,1.04144,0.86671,0.7932,0.7722,0.80866,0.52329,1.48703,1.00022,0.85812,0.000643326,0.000643326,0.000643326
25,730.684,1.39368,1.02783,0.85464,0.78107,0.91799,0.90721,0.5379,1.49344,1.08742,0.87186,0.000635079,0.000635079,0.000635079
26,760.747,1.42821,1.01703,0.8603,0.8267,0.88224,0.85265,0.53743,1.4588,0.99782,0.86855,0.000626832,0.000626832,0.000626832
27,791.436,1.47793,1.04527,0.85978,0.80716,0.90188,0.86351,0.56189,1.41437,1.0203,0.85388,0.000618586,0.000618586,0.000618586
28,821.553,1.45357,1.02752,0.8744,0.87614,0.86338,0.90175,0.57554,1.47418,0.99821,0.86791,0.000610339,0.000610339,0.000610339
29,851.32,1.46439,1.04119,0.85645,0.77259,0.87625,0.80999,0.51179,1.47692,1.06603,0.86759,0.000602092,0.000602092,0.000602092
30,881.674,1.4961,1.03954,0.8531,0.78085,0.91452,0.82681,0.53668,1.39578,0.96729,0.85561,0.000593846,0.000593846,0.000593846
31,912.286,1.418,0.99301,0.85089,0.79818,0.88762,0.81788,0.53335,1.4086,0.96891,0.86485,0.000585599,0.000585599,0.000585599
32,942.43,1.42677,0.95387,0.84551,0.82814,0.91204,0.93046,0.60703,1.42766,0.94127,0.86309,0.000577352,0.000577352,0.000577352
33,972.56,1.40465,0.95866,0.84478,0.85316,0.89634,0.9245,0.63807,1.41222,0.93349,0.85222,0.000569106,0.000569106,0.000569106
34,1003.87,1.40955,0.97308,0.84657,0.80288,0.88439,0.91344,0.61978,1.40028,0.92867,0.84626,0.000560859,0.000560859,0.000560859
35,1034.38,1.43877,0.95266,0.85351,0.78857,0.91216,0.91971,0.59974,1.43834,0.94254,0.84846,0.000552612,0.000552612,0.000552612
36,1064.44,1.42804,0.96577,0.84733,0.81913,0.87131,0.835,0.5365,1.41926,0.94309,0.85482,0.000544365,0.000544365,0.000544365
37,1094.9,1.41362,0.95214,0.84309,0.78774,0.75231,0.81577,0.51779,1.46511,0.95762,0.85091,0.000536119,0.000536119,0.000536119
38,1124.78,1.37777,0.92847,0.84225,0.89594,0.78531,0.84257,0.53646,1.43956,0.92098,0.85201,0.000527872,0.000527872,0.000527872
39,1155.07,1.39692,0.94677,0.84299,0.74764,0.92901,0.84023,0.55846,1.40334,0.90801,0.84736,0.000519625,0.000519625,0.000519625
40,1185.2,1.41104,0.94536,0.86135,0.78773,0.90259,0.83256,0.54614,1.38205,0.93177,0.8461,0.000511379,0.000511379,0.000511379
41,1215.11,1.37189,0.93755,0.85226,0.79029,0.92286,0.82508,0.54749,1.39485,0.89012,0.84384,0.000503132,0.000503132,0.000503132
42,1245.55,1.38775,0.89494,0.85153,0.93644,0.77251,0.83683,0.54591,1.38377,0.90323,0.84578,0.000494885,0.000494885,0.000494885
43,1275.87,1.32328,0.90376,0.8432,0.81342,0.88998,0.83237,0.54065,1.39823,0.94554,0.84536,0.000486639,0.000486639,0.000486639
44,1306.05,1.36535,0.91473,0.83454,0.82778,0.88004,0.81993,0.54225,1.40239,0.90857,0.8442,0.000478392,0.000478392,0.000478392
45,1336.27,1.38314,0.89737,0.83165,0.79205,0.9094,0.84477,0.55971,1.42972,0.89819,0.8417,0.000470145,0.000470145,0.000470145
46,1366.87,1.3384,0.92043,0.84253,0.78883,0.90409,0.83542,0.54237,1.44315,0.88786,0.8453,0.000461898,0.000461898,0.000461898
47,1396.95,1.36425,0.90343,0.84522,0.80061,0.92103,0.83544,0.55204,1.38719,0.88246,0.84267,0.000453652,0.000453652,0.000453652
48,1426.81,1.42606,0.91606,0.84003,0.82073,0.89522,0.83339,0.53382,1.41599,0.89279,0.85121,0.000445405,0.000445405,0.000445405
49,1456.6,1.36512,0.87424,0.84577,0.84803,0.89319,0.84656,0.55643,1.42012,0.85249,0.84389,0.000437158,0.000437158,0.000437158
50,1487.03,1.32678,0.89058,0.84645,0.75737,0.92929,0.82858,0.53972,1.42494,0.86527,0.84515,0.000428912,0.000428912,0.000428912
51,1517.32,1.43417,0.91197,0.8533,0.76595,0.94067,0.8438,0.56282,1.39868,0.82854,0.84102,0.000420665,0.000420665,0.000420665
52,1547.2,1.38516,0.85874,0.83357,0.87568,0.93067,0.93817,0.61695,1.37017,0.82211,0.83776,0.000412418,0.000412418,0.000412418
53,1577.59,1.35997,0.87081,0.84548,0.8978,0.87299,0.9249,0.58993,1.40092,0.83792,0.84221,0.000404172,0.000404172,0.000404172
54,1608.33,1.35283,0.85385,0.8373,0.89413,0.91457,0.93576,0.59739,1.42272,0.85898,0.84377,0.000395925,0.000395925,0.000395925
55,1638.53,1.38999,0.88822,0.84388,0.80553,0.92184,0.84412,0.5454,1.46639,0.88027,0.84304,0.000387678,0.000387678,0.000387678
56,1669.77,1.36945,0.85869,0.8436,0.74295,0.93912,0.92312,0.63908,1.33099,0.82324,0.83563,0.000379431,0.000379431,0.000379431
57,1700,1.28887,0.84718,0.83725,0.80544,0.93893,0.8732,0.57633,1.34992,0.81774,0.83538,0.000371185,0.000371185,0.000371185
58,1730.84,1.32511,0.81509,0.83942,0.83313,0.90746,0.84224,0.5652,1.37854,0.80201,0.83566,0.000362938,0.000362938,0.000362938
59,1761.15,1.32742,0.82345,0.82981,0.86891,0.90346,0.87395,0.59062,1.32422,0.8084,0.83103,0.000354691,0.000354691,0.000354691
60,1791.81,1.33975,0.83213,0.83283,0.85981,0.9156,0.87154,0.58318,1.35441,0.8033,0.83731,0.000346445,0.000346445,0.000346445
61,1822.62,1.36078,0.8324,0.83174,0.86913,0.91669,0.87384,0.59368,1.333,0.79946,0.83392,0.000338198,0.000338198,0.000338198
62,1853.5,1.32436,0.84451,0.83296,0.85595,0.9204,0.86084,0.58603,1.37999,0.82057,0.83102,0.000329951,0.000329951,0.000329951
63,1883.63,1.32814,0.82381,0.8359,0.85899,0.90104,0.86844,0.56579,1.42417,0.8315,0.83726,0.000321705,0.000321705,0.000321705
64,1913.7,1.28742,0.81422,0.82811,0.81342,0.91379,0.8685,0.58394,1.36129,0.81847,0.83547,0.000313458,0.000313458,0.000313458
65,1944.13,1.35569,0.81224,0.82871,0.82585,0.92044,0.87365,0.57936,1.35926,0.82111,0.83667,0.000305211,0.000305211,0.000305211
66,1973.56,1.30099,0.79272,0.83421,0.88298,0.86831,0.92164,0.62034,1.38096,0.80924,0.83267,0.000296964,0.000296964,0.000296964
67,2002.87,1.32802,0.78612,0.83395,0.88618,0.88894,0.93702,0.65134,1.3385,0.78732,0.82821,0.000288718,0.000288718,0.000288718
68,2031.9,1.31601,0.79213,0.83607,0.83023,0.91022,0.84799,0.57237,1.3416,0.80817,0.83192,0.000280471,0.000280471,0.000280471
69,2060.71,1.36748,0.83705,0.83947,0.838,0.88569,0.84504,0.56762,1.33084,0.80389,0.82788,0.000272224,0.000272224,0.000272224
70,2089.92,1.27983,0.78074,0.82657,0.80564,0.91161,0.86941,0.59587,1.31683,0.79765,0.82855,0.000263978,0.000263978,0.000263978
71,2119.08,1.33666,0.79984,0.8373,0.81218,0.90404,0.9295,0.63139,1.31385,0.81203,0.8305,0.000255731,0.000255731,0.000255731
72,2148.82,1.32451,0.78058,0.83082,0.8128,0.92213,0.87168,0.60006,1.3241,0.7753,0.82761,0.000247484,0.000247484,0.000247484
73,2178.41,1.23438,0.77042,0.82171,0.84206,0.91592,0.87563,0.58932,1.34513,0.78174,0.82737,0.000239238,0.000239238,0.000239238
74,2208.42,1.27838,0.76309,0.82026,0.87334,0.92514,0.86944,0.59163,1.32009,0.76709,0.82647,0.000230991,0.000230991,0.000230991
75,2238.02,1.26153,0.7745,0.82069,0.82947,0.93487,0.84846,0.57763,1.31251,0.74697,0.82349,0.000222744,0.000222744,0.000222744
76,2265.65,1.27,0.77169,0.8289,0.81771,0.9255,0.83054,0.54988,1.3585,0.78574,0.8273,0.000214497,0.000214497,0.000214497
77,2293.06,1.25739,0.78498,0.83073,0.82407,0.92253,0.85184,0.57921,1.33409,0.76468,0.82591,0.000206251,0.000206251,0.000206251
78,2321.41,1.26031,0.75802,0.82551,0.86238,0.9039,0.87488,0.59654,1.31111,0.75238,0.82589,0.000198004,0.000198004,0.000198004
79,2350.07,1.29102,0.7754,0.81942,0.84702,0.91385,0.85269,0.57345,1.33138,0.76455,0.82806,0.000189757,0.000189757,0.000189757
80,2378.49,1.25573,0.75979,0.82496,0.82211,0.91437,0.84263,0.57414,1.31787,0.77875,0.82642,0.000181511,0.000181511,0.000181511
81,2407.17,1.2842,0.77004,0.81039,0.88366,0.89644,0.87279,0.614,1.30511,0.76148,0.82408,0.000173264,0.000173264,0.000173264
82,2435.71,1.22909,0.75976,0.83294,0.86455,0.91866,0.87334,0.6134,1.31711,0.75566,0.82472,0.000165017,0.000165017,0.000165017
83,2464.11,1.23837,0.75069,0.81731,0.87054,0.91331,0.87836,0.60523,1.31254,0.75498,0.82162,0.000156771,0.000156771,0.000156771
84,2492.43,1.25023,0.76478,0.81766,0.839,0.92661,0.87903,0.59594,1.3391,0.7514,0.82267,0.000148524,0.000148524,0.000148524
85,2520.51,1.24654,0.73856,0.82116,0.8435,0.92707,0.8783,0.60444,1.33825,0.7612,0.82432,0.000140277,0.000140277,0.000140277
86,2548.9,1.24014,0.75146,0.83095,0.85379,0.9127,0.87663,0.60487,1.32759,0.76831,0.82518,0.000132031,0.000132031,0.000132031
87,2577.15,1.28404,0.76258,0.82042,0.86127,0.9218,0.87485,0.60758,1.3427,0.74892,0.82454,0.000123784,0.000123784,0.000123784
