epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3427,2.50198,4.50773,1.11043,0.00046,0.13999,0.00244,0.00115,2.51082,4.55186,0.91686,0.00010829,0.00010829,0.00010829
2,21.8658,2.21835,3.72344,0.92676,0.00172,0.20853,0.0202,0.00537,2.13295,4.35082,0.87722,0.000222683,0.000222683,0.000222683
3,32.612,2.10807,2.82895,0.90434,0.01089,0.58117,0.14103,0.06335,2.24548,3.59553,0.88159,0.000334768,0.000334768,0.000334768
4,43.205,2.03859,2.12945,0.86097,0.01581,0.78989,0.34793,0.18831,2.15895,2.90221,0.86094,0.000444543,0.000444543,0.000444543
5,53.9655,1.92683,1.83357,0.84933,0.45572,0.3174,0.42884,0.2406,1.9639,2.42649,0.83588,0.000552009,0.000552009,0.000552009
6,64.7393,1.89533,1.72719,0.85919,0.45871,0.40555,0.43809,0.25833,2.1131,1.98532,0.83989,0.000657166,0.000657166,0.000657166
7,75.2359,1.91529,1.65546,0.84988,0.47875,0.61811,0.47298,0.28648,1.98421,1.87907,0.83922,0.000760014,0.000760014,0.000760014
8,85.3633,1.80972,1.55539,0.85019,0.52702,0.68593,0.50522,0.30715,1.93845,1.92774,0.82329,0.000775273,0.000775273,0.000775273
9,96.5643,1.82724,1.54418,0.82888,0.56163,0.68697,0.51318,0.30946,1.87567,1.9651,0.81398,0.000767026,0.000767026,0.000767026
10,106.512,1.7882,1.4733,0.8307,0.56092,0.6788,0.55237,0.33172,1.85619,1.66327,0.82253,0.00075878,0.00075878,0.00075878
11,114.532,1.76091,1.39203,0.83666,0.52966,0.70954,0.53561,0.33574,1.83627,1.51609,0.81072,0.000750533,0.000750533,0.000750533
12,122.87,1.68602,1.30857,0.81846,0.62415,0.71776,0.60233,0.38037,1.76392,1.37045,0.79327,0.000742286,0.000742286,0.000742286
13,131.354,1.73248,1.32104,0.80691,0.63077,0.68977,0.60699,0.37304,1.81183,1.38523,0.79892,0.00073404,0.00073404,0.00073404
14,139.937,1.71213,1.27257,0.84019,0.72174,0.70825,0.65605,0.38388,1.84428,1.25571,0.80783,0.000725793,0.000725793,0.000725793
15,148.441,1.65486,1.26235,0.81526,0.70786,0.61145,0.65434,0.39363,1.83684,1.22065,0.80252,0.000717546,0.000717546,0.000717546
16,156.65,1.71756,1.20605,0.80601,0.71457,0.7484,0.67122,0.42216,1.7297,1.11154,0.79128,0.000709299,0.000709299,0.000709299
17,164.265,1.71906,1.22338,0.8145,0.69227,0.75995,0.68709,0.41298,1.76304,1.17607,0.79876,0.000701053,0.000701053,0.000701053
18,171.942,1.81827,1.28934,0.84525,0.79912,0.65296,0.67766,0.40643,1.75324,1.11104,0.79003,0.000692806,0.000692806,0.000692806
19,179.646,1.7662,1.18694,0.80039,0.70207,0.62863,0.66272,0.40029,1.73033,1.06851,0.79888,0.000684559,0.000684559,0.000684559
20,187.384,1.62652,1.1585,0.79518,0.723,0.65019,0.66771,0.40835,1.76074,1.09302,0.79381,0.000676313,0.000676313,0.000676313
21,194.908,1.60619,1.09287,0.81444,0.73731,0.65296,0.67843,0.4219,1.71984,1.02682,0.79443,0.000668066,0.000668066,0.000668066
22,203.747,1.69319,1.07062,0.80559,0.66534,0.79404,0.67916,0.43168,1.6896,1.0553,0.78431,0.000659819,0.000659819,0.000659819
23,212.333,1.64798,1.08152,0.80287,0.74071,0.78455,0.68148,0.41927,1.771,1.0359,0.7894,0.000651573,0.000651573,0.000651573
24,220.677,1.55092,1.05561,0.81722,0.69202,0.79675,0.67887,0.40668,1.70606,1.04836,0.79088,0.000643326,0.000643326,0.000643326
25,228.539,1.58545,1.0594,0.80141,0.71961,0.76901,0.66449,0.42096,1.73422,1.08355,0.79706,0.000635079,0.000635079,0.000635079
26,236.947,1.57376,1.03864,0.80227,0.71538,0.78091,0.78608,0.51812,1.73515,1.0313,0.78666,0.000626832,0.000626832,0.000626832
27,245.376,1.68279,1.09886,0.80117,0.74236,0.80093,0.79178,0.52023,1.73191,1.00234,0.78645,0.000618586,0.000618586,0.000618586
28,254.025,1.65693,1.0726,0.81043,0.77565,0.77033,0.72574,0.46244,1.73501,1.012,0.7876,0.000610339,0.000610339,0.000610339
29,262.558,1.5715,1.05966,0.80148,0.7511,0.76574,0.72427,0.45367,1.72869,0.99378,0.78705,0.000602092,0.000602092,0.000602092
30,270.827,1.59725,1.05518,0.79472,0.75796,0.78373,0.78695,0.49689,1.72319,1.02696,0.7871,0.000593846,0.000593846,0.000593846
31,279.04,1.55546,1.0541,0.80287,0.78333,0.76947,0.73603,0.44194,1.72387,1.04134,0.78827,0.000585599,0.000585599,0.000585599
32,287.097,1.62056,1.01144,0.79537,0.79129,0.77983,0.79703,0.50004,1.74459,0.96216,0.78225,0.000577352,0.000577352,0.000577352
33,295.193,1.57002,1.00897,0.79701,0.77899,0.77869,0.72938,0.4513,1.7055,0.99384,0.78231,0.000569106,0.000569106,0.000569106
34,303.361,1.50938,1.00607,0.79576,0.73961,0.77861,0.70788,0.46026,1.65587,1.01664,0.77262,0.000560859,0.000560859,0.000560859
35,311.465,1.56709,0.97488,0.787,0.78907,0.77013,0.71117,0.45344,1.64404,0.96369,0.77212,0.000552612,0.000552612,0.000552612
36,319.664,1.61043,1.00895,0.79121,0.83221,0.75302,0.79603,0.49557,1.69772,1.00054,0.77804,0.000544365,0.000544365,0.000544365
37,327.766,1.5709,0.97676,0.78973,0.86092,0.75567,0.8042,0.52168,1.63637,0.94507,0.77471,0.000536119,0.000536119,0.000536119
38,336.085,1.52402,0.96759,0.79536,0.8612,0.7946,0.80576,0.51735,1.66294,0.91881,0.77995,0.000527872,0.000527872,0.000527872
39,344.253,1.54044,0.96473,0.78718,0.87415,0.74184,0.79142,0.49857,1.72177,0.97875,0.77727,0.000519625,0.000519625,0.000519625
40,352.444,1.48262,0.952,0.80418,0.76283,0.77625,0.78721,0.51255,1.65359,0.94499,0.77386,0.000511379,0.000511379,0.000511379
41,360.646,1.54412,0.9452,0.79643,0.78512,0.78854,0.80036,0.54239,1.63815,0.9256,0.77376,0.000503132,0.000503132,0.000503132
42,368.94,1.52245,0.93739,0.78498,0.82844,0.76286,0.8036,0.50187,1.75246,0.97189,0.77628,0.000494885,0.000494885,0.000494885
43,377.243,1.47051,0.93212,0.7883,0.81992,0.80174,0.81459,0.52123,1.71876,0.95162,0.77277,0.000486639,0.000486639,0.000486639
44,385.66,1.56704,0.95323,0.78058,0.76233,0.78769,0.71809,0.47423,1.62313,0.97044,0.76895,0.000478392,0.000478392,0.000478392
45,394.04,1.52387,0.95004,0.78586,0.79707,0.78546,0.80783,0.52473,1.6187,0.91279,0.77037,0.000470145,0.000470145,0.000470145
46,402.916,1.49743,0.92085,0.78612,0.8258,0.78074,0.80333,0.52078,1.63592,0.87562,0.78006,0.000461898,0.000461898,0.000461898
47,411.269,1.47885,0.90798,0.79568,0.80527,0.76257,0.80348,0.52942,1.57155,0.89803,0.77162,0.000453652,0.000453652,0.000453652
48,419.769,1.58638,0.93221,0.79034,0.76086,0.78091,0.80601,0.53776,1.60265,0.91633,0.77054,0.000445405,0.000445405,0.000445405
49,428.228,1.5248,0.91693,0.78612,0.79764,0.78408,0.72848,0.46519,1.64142,0.91214,0.77266,0.000437158,0.000437158,0.000437158
50,436.621,1.47472,0.92391,0.79524,0.79783,0.78113,0.76003,0.47524,1.60204,0.88625,0.77427,0.000428912,0.000428912,0.000428912
51,445.04,1.5358,0.98012,0.79696,0.73568,0.79354,0.79911,0.53712,1.60987,0.94239,0.76901,0.000420665,0.000420665,0.000420665
52,453.476,1.52057,0.90462,0.7808,0.79009,0.78198,0.8051,0.53137,1.59659,0.92276,0.76246,0.000412418,0.000412418,0.000412418
53,461.935,1.48242,0.9015,0.79095,0.80017,0.78485,0.74886,0.50521,1.55706,0.87983,0.75973,0.000404172,0.000404172,0.000404172
54,470.136,1.46581,0.90363,0.78328,0.82688,0.79385,0.74951,0.48703,1.60918,0.88579,0.76703,0.000395925,0.000395925,0.000395925
55,478.455,1.47353,0.90126,0.78465,0.84745,0.78035,0.7443,0.48125,1.65281,0.89644,0.76419,0.000387678,0.000387678,0.000387678
56,487.027,1.46565,0.86709,0.77511,0.8247,0.79217,0.74882,0.50307,1.50267,0.85925,0.76191,0.000379431,0.000379431,0.000379431
57,495.307,1.43915,0.86863,0.79069,0.8606,0.79091,0.75778,0.5051,1.52551,0.83337,0.77,0.000371185,0.000371185,0.000371185
58,503.601,1.4298,0.83968,0.78963,0.79961,0.79402,0.75388,0.49608,1.56933,0.88001,0.76413,0.000362938,0.000362938,0.000362938
59,511.848,1.45192,0.88495,0.7732,0.79198,0.79313,0.76125,0.50435,1.52065,0.88036,0.76207,0.000354691,0.000354691,0.000354691
60,520.135,1.46029,0.87472,0.777,0.81979,0.77977,0.74843,0.49382,1.58016,0.88983,0.76511,0.000346445,0.000346445,0.000346445
61,528.245,1.47541,0.86872,0.77734,0.81142,0.7881,0.75207,0.49772,1.56327,0.88079,0.76091,0.000338198,0.000338198,0.000338198
62,536.549,1.42317,0.86943,0.78512,0.8374,0.77966,0.81781,0.51838,1.61495,0.83944,0.76638,0.000329951,0.000329951,0.000329951
63,544.705,1.45704,0.85516,0.78636,0.81216,0.79952,0.82249,0.52955,1.5369,0.83265,0.7699,0.000321705,0.000321705,0.000321705
64,552.896,1.45732,0.8524,0.77741,0.80331,0.78205,0.81639,0.51797,1.60934,0.89696,0.76493,0.000313458,0.000313458,0.000313458
65,560.971,1.42539,0.84224,0.78652,0.80943,0.78846,0.81706,0.5542,1.57934,0.87822,0.76693,0.000305211,0.000305211,0.000305211
66,569.074,1.45258,0.82089,0.77372,0.81345,0.78556,0.81361,0.56926,1.52416,0.84669,0.76786,0.000296964,0.000296964,0.000296964
67,577.224,1.42853,0.81844,0.78141,0.83662,0.78936,0.81751,0.56341,1.52828,0.8399,0.76752,0.000288718,0.000288718,0.000288718
68,585.447,1.3936,0.81956,0.78511,0.85991,0.78518,0.75981,0.49971,1.49995,0.8336,0.7644,0.000280471,0.000280471,0.000280471
69,593.453,1.45453,0.87483,0.78025,0.80232,0.80017,0.76034,0.50261,1.51602,0.83775,0.76152,0.000272224,0.000272224,0.000272224
70,601.705,1.37888,0.8044,0.7811,0.80191,0.79644,0.75486,0.49529,1.53752,0.83169,0.76614,0.000263978,0.000263978,0.000263978
71,610.162,1.50835,0.84395,0.77553,0.77792,0.81247,0.7648,0.4911,1.54475,0.8598,0.76335,0.000255731,0.000255731,0.000255731
72,618.456,1.45171,0.83878,0.7802,0.79911,0.79523,0.82248,0.56124,1.48112,0.82686,0.75845,0.000247484,0.000247484,0.000247484
73,626.642,1.36533,0.81899,0.77213,0.81332,0.79824,0.76176,0.51146,1.53081,0.82518,0.75861,0.000239238,0.000239238,0.000239238
74,634.969,1.42648,0.82226,0.78076,0.85709,0.79029,0.82409,0.55476,1.50777,0.80915,0.75941,0.000230991,0.000230991,0.000230991
75,643.138,1.39948,0.8098,0.76667,0.87335,0.78532,0.82872,0.57707,1.4579,0.79535,0.75895,0.000222744,0.000222744,0.000222744
76,651.359,1.39636,0.79911,0.77474,0.83539,0.79028,0.82763,0.56421,1.49183,0.84101,0.75958,0.000214497,0.000214497,0.000214497
77,659.972,1.36708,0.81059,0.78339,0.83085,0.78882,0.81807,0.56545,1.46535,0.81629,0.75974,0.000206251,0.000206251,0.000206251
78,668.337,1.40107,0.805,0.76719,0.84651,0.79893,0.82747,0.57501,1.50661,0.81822,0.76123,0.000198004,0.000198004,0.000198004
79,676.542,1.45991,0.8549,0.77539,0.82805,0.79323,0.83029,0.56591,1.50082,0.83199,0.76329,0.000189757,0.000189757,0.000189757
